manufacturer,model_year,body_type,transmission_type,fuel_type,total_kms,total_owners,price,insurance_type,mileage(kmpl),engine(CC),torque(nm),seats,number_of_cylinders,valves_per_cylinder,super_charger,turbo_charger,drive_type,steering_type,cargo_volume,location
Maruti,2015,Hatchback,Manual,Petrol,120000,3,400000.0,Third Party insurance,23.1,998.0,90.0,5.0,3,4,No,No,FWD,Power,235.0,Bangalore
Ford,2018,SUV,Manual,Petrol,32706,2,811000.0,Comprehensive,17.0,1497.0,150.0,5.0,3,4,No,No,FWD,Power,352.0,Bangalore
Tata,2018,Hatchback,Manual,Petrol,11949,1,585000.0,Comprehensive,23.84,1199.0,114.0,5.0,3,4,No,No,FWD,Power,242.0,Bangalore
Hyundai,2014,Sedan,Manual,Petrol,17794,1,462000.0,Comprehensive,19.1,1197.0,113.75,5.0,4,4,No,No,Front Wheel Drive,Power,407.0,Bangalore
Maruti,2015,SUV,Manual,Diesel,60000,1,790000.0,Third Party insurance,23.65,1248.0,200.0,5.0,4,4,No,Yes,FWD,Power,353.0,Bangalore
Jeep,2020,SUV,Manual,Diesel,20000,1,1900000.0,Third Party insurance,17.1,1956.0,350.0,5.0,4,4,No,Yes,Two Wheel Drive,Power,408.0,Bangalore
Datsun,2017,Hatchback,Manual,Petrol,37772,1,345000.0,Comprehensive,20.63,1198.0,104.0,5.0,3,4,No,No,FWD,Power,265.0,Bangalore
Hyundai,2021,SUV,Automatic,Petrol,30000,1,1200000.0,Third Party insurance,18.15,998.0,171.6,5.0,3,4,No,Yes,FWD,Power,350.0,Bangalore
Maruti,2018,Sedan,Automatic,Petrol,37000,1,960000.0,Comprehensive,20.28,1462.0,138.0,5.0,4,4,No,No,FWD,Power,510.0,Bangalore
Tata,2017,Hatchback,Manual,Petrol,11949,1,585000.0,Comprehensive,23.84,1199.0,114.0,5.0,3,4,No,No,FWD,Power,242.0,Bangalore
Maruti,2018,Hatchback,Manual,Petrol,50000,1,690000.0,Third Party insurance,21.4,1197.0,115.0,5.0,4,4,No,No,FWD,Power,339.0,Bangalore
Hyundai,2019,Hatchback,Automatic,Petrol,24887,1,682000.0,Third Party insurance,18.9,1197.0,113.75,5.0,4,4,No,No,FWD,Power,256.0,Bangalore
Honda,2018,Hatchback,Automatic,Petrol,23000,1,825000.0,Comprehensive,18.2,1199.0,110.0,5.0,4,4,No,No,FWD,Power,354.0,Bangalore
Tata,2018,Hatchback,Automatic,Petrol,48928,1,595000.0,Comprehensive,23.84,1199.0,114.0,5.0,3,4,No,No,FWD,Power,242.0,Bangalore
Mahindra,2014,SUV,Manual,Diesel,108862,3,690000.0,Comprehensive,15.1,2179.0,330.0,7.0,4,4,No,Yes,FWD,Power,242.0,Bangalore
Jeep,2018,SUV,Manual,Diesel,80000,1,1350000.0,Third Party insurance,17.1,1956.0,350.0,5.0,4,4,No,Yes,Two Wheel Drive,Power,408.0,Bangalore
Mercedes-Benz,2022,SUV,Automatic,Diesel,16000,1,5595000.0,Comprehensive,17.1,1950.0,400.0,5.0,4,4,No,Yes,All Wheel Drive,Power,408.0,Bangalore
Hyundai,2014,Hatchback,Manual,Diesel,65376,2,521000.0,Comprehensive,21.27,1396.0,219.6,5.0,4,4,No,No,FWD,Power,408.0,Bangalore
